Date,R,Hu,T,WE,Fr,WQI,,,,,,,,
2009.01.15,8.60,59,2.5,0,6350,52,,,,,,,,
2009.02.15,36.79,41,9,280,4200,52,,,,,,,,
2009.03.15,54.00,23,16,120,0,52,,,,,,,,
2009.04.15,37.80,32,9,350,0,57,,,,,,,,
2009.05.15,13.40,14,23,310,0,57,,,,,,,,
2009.06.15,4.80,19,27.5,300,0,57,,,,,,,,
2009.07.15,0.00,10,32.5,170,6450,57,,,,,,,,
2009.08.15,0.00,17,32.5,80,0,59,,,,,,,,
2009.09.15,1.50,30,26,110,0,59,,,,,,,,
2009.10.15,9.00,19,20.5,0,0,59,,,,,,,,
2009.11.15,36.40,40,13,0,0,58,,,,,,,,
2009.12.15,15.70,51,6.5,0,6000,58,,,,,,,,
2010.01.15,9.70,42,9,80,0,58,,,,,,,,
2010.02.15,14.01,57,6.5,50,0,58,,,,,,,,
2010.03.15,20.20,19,19.5,0,0,58.6,,,,,,,,
2010.04.15,13.90,25,17.5,180,3600,58.6,,,,,,,,
2010.05.15,17.50,36,23.5,170,0,58.6,,,,,,,,
2010.06.15,0.20,15,29.5,230,0,59.9,,,,,,,,
2010.07.15,0.00,7,32.5,245,5850,59.9,,,,,,,,
2010.08.15,2.70,17,28,130,0,58.2,,,,,,,,
2010.09.15,6.40,17,26.5,45,0,58.2,,,,,,,,
2010.10.15,18.51,22,19.5,0,0,58.2,,,,,,,,
2010.11.15,18.90,40,12.5,0,0,58.2,,,,,,,,
2010.12.15,5.70,33,6,45,0,58.2,,,,,,,,
2011.01.15,27.30,59,-1,0,6500,58.2,,,,,,,,
2011.02.15,15.69,30,4.5,0,0,57,,,,,,,,
2011.03.15,34.42,49,5.5,190,0,57,,,,,,,,
2011.04.15,28.52,13,14,250,4400,57,,,,,,,,
2011.05.15,48.83,34,22.5,250,0,57,,,,,,,,
2011.06.15,23.84,4,29,330,0,57,,,,,,,,
2011.07.15,11.28,21,32,215,5500,59.8,,,,,,,,
2011.08.15,16.13,10,34.5,121,0,59.8,,,,,,,,
2011.09.15,12.10,16,26.5,0,0,59.8,,,,,,,,
2011.10.15,81.40,8,23.5,60,0,59.8,,,,,,,,
2011.11.15,39.00,48,9,0,0,59.8,,,,,,,,
2011.12.15,0.80,41,4.5,0,0,59.8,,,,,,,,
2012.01.15,8.69,35,4,0,6430,60.3,,,,,,,,
2012.02.15,25.40,40,4.5,0,0,60.3,,,,,,,,
2012.03.15,27.90,34,12.5,470,5100,60.3,,,,,,,,
2012.04.15,103.20,57,15,622,0,60.3,,,,,,,,
2012.05.15,68.40,22,24,700,0,62.2,,,,,,,,
2012.06.15,23.67,20,29.5,851,5200,62.2,,,,,,,,
2012.07.15,17.90,21,33,860,0,60,,,,,,,,
2012.08.15,1.90,8,32,645,0,60,,,,,,,,
2012.09.15,1.30,16,27.5,300,0,57.1,,,,,,,,
2012.10.15,12.10,23,19.5,430,0,57.1,,,,,,,,
2012.11.15,35.60,36,12.5,0,0,57.1,,,,,,,,
2012.12.15,27.70,56,5,0,0,57.1,,,,,,,,
2013.01.15,16.80,39,2.5,0,6450,56.2,,,,,,,,
2013.02.15,10.40,38,9,250,0,56.2,,,,,,,,
2013.03.15,27.90,18,17,200,0,56.2,,,,,,,,
2013.04.15,24.70,28,18,610,4100,56,,,,,,,,
2013.05.15,41.80,17,23,820,0,56,,,,,,,,
2013.06.15,2.60,10,32,850,0,56,,,,,,,,
2013.07.15,2.20,17,33,500,5000,56,,,,,,,,
2013.08.15,3.60,0,30.5,385,0,54.8,,,,,,,,
2013.09.15,0.50,14,27,350,0,54.8,,,,,,,,
2013.10.15,11.10,12,18.5,60,0,54.8,,,,,,,,
2013.11.15,38.90,46,12,0,0,52,,,,,,,,
2013.12.15,12.30,21,5,0,6500,52,,,,,,,,
2014.01.15,6.00,44,4,0,0,52,,,,,,,,
2014.02.15,8.20,28,8.5,150,0,49.5,,,,,,,,
2014.03.15,30.45,41,9,250,0,51.1,,,,,,,,
2014.04.15,40.60,26,19.5,550,0,51.1,,,,,,,,
2014.05.15,44.30,31,22.5,680,0,49.5,,,,,,,,
2014.06.15,23.20,14,28,710,5500,49.5,,,,,,,,
2014.07.15,2.00,10,35,805,0,47,,,,,,,,
2014.08.15,4.52,26,31,600,0,47,,,,,,,,
2014.09.15,0.50,7,29,420,0,47,,,,,,,,
2014.10.15,10.90,28,20,0,0,46.4,,,,,,,,
2014.11.15,18.80,37,11,0,0,46.4,,,,,,,,
2014.12.15,4.20,36,7.5,85,0,46.4,,,,,,,,
2015.01.15,18.69,28,6.5,0,3100,52.2,,,,,,,,
2015.02.15,45.90,29,9,0,1500,52.2,,,,,,,,
2015.03.15,29.07,32,13.5,380,0,52.2,,,,,,,,
2015.04.15,33.81,32,16.5,611,0,52.2,,,,,,,,
2015.05.15,14.10,20,25,710,0,54.4,,,,,,,,
2015.06.15,7.10,18,30,700,0,54.4,,,,,,,,
2015.07.15,10.00,12,35,580,4500,54.4,,,,,,,,
2015.08.15,2.60,10,32.5,500,0,50.3,,,,,,,,
2015.09.15,3.11,20,29,250,0,50.3,,,,,,,,
2015.10.15,40.11,29,22.5,120,0,50.3,,,,,,,,
2015.11.15,13.36,40,9.5,0,0,49.4,,,,,,,,
2015.12.15,28.72,64,6,0,0,49.4,,,,,,,,
2016.01.15,38.60,30,9.5,0,6150,49.4,,,,,,,,
2016.02.15,13.10,39,9,0,0,49.4,,,,,,,,
2016.03.15,41.00,38,15.5,310,4500,54.6,,,,,,,,
2016.04.15,29.36,32,16.5,450,0,54.6,,,,,,,,
2016.05.15,13.21,24,27,700,0,54.6,,,,,,,,
2016.06.15,3.70,20,26,760,4730,54.6,,,,,,,,
2016.07.15,2.62,16,32.5,830,1500,52,,,,,,,,
2016.08.15,0.00,16,31,640,0,52,,,,,,,,
2016.09.15,6.30,14,29,250,0,52,,,,,,,,
2016.10.15,0.50,22,21.5,120,0,52,,,,,,,,
2016.11.15,23.20,25,16,0,0,52,,,,,,,,
2016.12.15,42.50,44,8,0,2100,52,,,,,,,,
2017.01.15,30.43,46,3,0,4500,52,,,,,,,,
2017.02.15,33.96,42,7.5,0,0,52,,,,,,,,
2017.03.15,34.40,38,12.5,670,0,55.5,,,,,,,,
2017.04.15,33.30,33,24,510,0,55.5,,,,,,,,
2017.05.15,18.80,24,26.5,690,0,55.5,,,,,,,,
2017.06.15,0.00,12,34.5,760,0,54.2,,,,,,,,
2017.07.15,22.10,23,30.5,825,4300,54.2,,,,,,,,
2017.08.15,0.00,12,33,500,0,56,,,,,,,,
2017.09.15,0.00,19,28,410,0,56,,,,,,,,
2017.10.15,2.50,24,21,0,0,56,,,,,,,,
2017.11.15,2.00,36,13,70,2600,57.8,,,,,,,,
2017.12.15,4.20,42,6,0,2500,57.8,,,,,,,,
2018.01.15,42.10,25,9,0,2500,56.5,,,,,,,,
2018.02.15,32.90,36,9,0,0,56.5,,,,,,,,
2018.03.15,7.77,25,16.5,230,4100,56.5,,,,,,,,
2018.04.15,46.31,51,13.5,150,0,59.5,,,,,,,,
2018.05.15,55.20,30,21.5,210,0,59.5,,,,,,,,
2018.06.15,23.13,24,29.5,200,6400,59.5,,,,,,,,
2018.07.15,0.00,12,35,350,0,59.5,,,,,,,,
2018.08.15,0.00,15,32,190,0,59.5,,,,,,,,
2018.09.15,8.30,17,29,100,0,60.9,,,,,,,,
2018.10.15,44.60,43,21,0,0,60.9,,,,,,,,
2018.11.15,42.20,53,10.5,0,0,60.9,,,,,,,,
2018.12.15,18.00,37,11.5,0,0,60.9,,,,,,,,
2019.01.15,80.10,41,11,0,3500,62.5,,,,,,,,
2019.02.15,42.00,33,11.5,120,0,62.5,,,,,,,,
2019.03.15,63.20,38,13,0,4000,62.5,,,,,,,,
2019.04.15,46.90,21,23,300,0,62.5,,,,,,,,
2019.05.15,49.90,26,28,130,0,62.5,,,,,,,,
2019.06.15,9.70,22,31.5,150,5000,62.5,,,,,,,,
2019.07.15,0.10,22,36,0,0,60,,,,,,,,
2019.08.15,1.70,20,30,80,0,60,,,,,,,,
2019.09.15,0.30,32,26.5,150,0,60,,,,,,,,
2019.10.15,39.00,39,21.5,0,0,60,,,,,,,,
2019.11.15,47.10,44,12.5,0,0,60,,,,,,,,
2019.12.15,15.80,62,10,0,6500,63.5,,,,,,,,
2020.01.15,21.40,51,7,48,0,63.5,,,,,,,,
2020.02.15,122.90,36,4.5,0,0,63.5,,,,,,,,
2020.03.15,50.60,36,18,0,3750,63.5,,,,,,,,
2020.04.15,89.80,46,17,270,0,63.5,,,,,,,,
2020.05.15,17.30,26,23.5,0,0,63.5,,,,,,,,
2020.06.15,0.30,10,33.5,120,0,63.5,,,,,,,,
2020.07.15,2.60,26,33,100,3000,63.5,,,,,,,,
2020.08.15,0.60,25,32,0,0,64.6,,,,,,,,
2020.09.15,0.10,24,28.5,0,0,64.6,,,,,,,,
2020.10.15,7.30,12,22,190,0,64.6,,,,,,,,
2020.11.15,85.20,46,12,0,0,64.6,,,,,,,,
2020.12.15,42.70,50,6.5,0,0,64.6,,,,,,,,
